block_num,con_num,trial,forced_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win
1,5,1,1,0,1,4,3,0.47,1
1,5,2,1,0,1,4,4,0.4,0
1,5,3,1,0,1,4,1,0.53,0
1,5,4,1,0,1,4,2,0.6,0
1,5,5,0,0,1,4,4,0.4,0
1,5,6,0,0,1,4,1,0.53,0
1,5,7,0,0,1,4,0,0,0
1,5,8,0,0,1,4,0,0,0
1,5,9,0,0,1,4,0,0,0
1,5,10,0,0,1,4,0,0,0
1,5,11,0,0,1,4,0,0,0
1,5,12,0,0,1,4,0,0,0
1,5,13,0,0,1,4,0,0,0
1,5,14,0,0,1,4,0,0,0
1,5,15,0,0,1,4,0,0,0
1,5,16,0,0,1,4,0,0,0
1,5,17,0,0,1,4,0,0,0
1,5,18,0,0,1,4,0,0,0
1,5,19,0,0,1,4,0,0,0
1,5,20,0,0,1,4,0,0,0
1,5,21,0,0,1,4,0,0,0
1,5,22,0,0,1,4,0,0,0
1,5,23,0,0,1,4,0,0,0
1,5,24,0,0,1,4,0,0,0
1,5,25,0,0,1,4,0,0,0
1,5,26,0,0,1,4,0,0,0
1,5,27,0,0,1,4,0,0,0
1,5,28,0,0,1,4,0,0,0
1,5,29,0,0,1,4,0,0,0
1,5,30,0,0,1,4,0,0,0
1,5,31,0,0,1,4,0,0,0
1,5,32,0,0,1,4,0,0,0
1,5,33,0,0,1,4,0,0,0
1,5,34,0,0,1,4,0,0,0
